sniffOnset,finalOnset,manOnset,condition,Yonset,inhaleMax,inMaxTim,Yend,endTim,length,amp,exhaleMin,exMinTim,index,task,noseMouth,shadowFile,warp,rateBPM,localPeriodCV,localAmpCV,nSubPeaks,nearSeam,bm_inhaleOnsets,bm_exhaleOnsets,bm_inhaleOffsets,bm_exhaleOffsets,bm_inhalePeaks,bm_exhaleTroughs,bm_peakInspiratoryFlows,bm_troughExpiratoryFlows,bm_inhaleTimeToPeak,bm_exhaleTimeToTrough,bm_inhaleVolumes,bm_exhaleVolumes,bm_inhaleDurations,bm_exhaleDurations,bm_inhalePauseOnsets,bm_exhalePauseOnsets,bm_inhalePauseDurations,bm_exhalePauseDurations,bm_inhaleVolumesRaw,bm_exhaleVolumesRaw,bm_inhale_smoothness,bm_inpeak_to_extrough_smoothness,bm_exhale_smoothness,bm_inhale_curvature,bm_inpeak_to_extrough_curvature,bm_exhale_curvature,bm_inpeak_to_extrough_slope,bm_max_flowchange,goodBreath,maxRR,minRR,RR_max_min,onsetSec,rsa_ms,good,nearSeamWide,clean,final10,period,meanRR,hrBPM,rsaNorm,depthVol,depth
1092371,1092371,NaN,11,-21.2015411371296,203.945551575684,1092892,-42.7771108956304,1094097,3.45199999999977,235.934877592064,-79.9067981607316,1093365,447,paced,NA,NA,NaN,17.3812282734658,0.169856191887526,0.156675502153086,1,0,1092371,1093163,1093162,1093785,1092892,1093365,2.65766500518297,-1.19128643008233,1.042,0.404,1747.60063686162,1093.07140603016,1.582,1.244,NaN,1093786,NaN,0.622,116666.72968366,75820.892918992,-0.0426432626648721,-0.0566501857857172,-0.00955515375504221,4.72316521454674e-05,5.53628811218516e-05,2.28670427686632e-05,-0.00986076704964598,0.0125251064589758,1,0.905999999999949,0.893999999999778,0.012000000000171,2184.742,12.000000000171,1,0,1,0,paced,0.901576005902641,66.5501295588819,0.013310025911966,116666.72968366,116666.72968366
1094097,1094097,NaN,11,-42.7771108956304,152.516965321927,1094960,-40.0572647966855,1095999,3.80400000000009,193.934153168085,-55.4928409530816,1095443,448,paced,NA,NA,NaN,15.7728706624602,0.138611639438891,0.164613329553089,1,0,1094097,1095235,1095234,1095998,1094960,1095443,1.91324325881641,-0.803942542606406,1.726,0.416,1493.29614140309,1032.82906241438,2.274,1.526,NaN,NaN,NaN,NaN,103920.535825103,72849.5680851029,-0.0213517244765866,-0.0388843736751125,-0.00639793607455382,2.21721680683648e-05,3.79654373757677e-05,1.41569750376108e-05,-0.00669776797512022,0.00843908777676039,1,0.902734513274362,0.884000000000015,0.0187345132743477,2188.194,18.7345132743477,1,0,1,0,paced,0.895143775858282,67.0283384839165,0.0209290549514068,103920.535825103,103920.535825103
1095999,1095999,NaN,11,-40.0572647966855,193.588941575509,1096878,7.95824292119663,1098507,5.01600000000008,209.638452513253,-117.554424834688,1097587,449,paced,NA,NA,NaN,11.9617224880381,0.125496377728116,0.122621939142892,1,0,1095999,1097133,1097132,1097911,1096878,1097587,2.44086142409671,-1.57188389870541,1.758,0.908,1947.32623804766,1604.17748530659,2.266,1.556,NaN,1097912,NaN,1.19,143041.208178075,121722.879728024,-0.0251273173497914,-0.040751729264858,-0.0057304109804615,2.65979170088948e-05,5.13587658570788e-05,4.537758055231e-05,-0.00623806729172881,0.0107322027729642,1,0.898239999999733,0.85799999999972,0.0402400000000129,2191.998,40.2400000000129,1,0,1,0,paced,0.879633502824057,68.2102259718058,0.0457463248851058,143041.208178075,143041.208178075
1098507,1098507,NaN,11,7.95824292119663,187.746523539715,1098830,6.46836834605441,1100435,3.85599999999977,180.533217906089,-96.9081552248853,1099505,450,paced,NA,NA,NaN,15.5601659751047,0.125496377728123,0.122117897311255,1,0,1098507,1099101,1099100,1099903,1098830,1099505,2.33125002503978,-1.32533946035983,0.646,0.808,1536.52424036925,1465.36746170194,1.186,1.604,NaN,1099904,NaN,1.062,116869.270545206,112899.672133294,-0.0552191992802617,-0.0384779214469195,-0.00438520952395462,6.53079295612787e-05,4.02271792956328e-05,2.86751699876263e-05,-0.00635199407581835,0.0106956204400297,1,0.896000000000186,0.871999999999844,0.024000000000342,2197.014,24.000000000342,1,0,1,0,paced,0.881551813238302,68.0617963674708,0.0272247185473763,116869.270545206,116869.270545206
1100435,1100435,NaN,11,6.46836834605441,175.950988495469,1100830,8.9515671565058,1102601,4.33200000000033,168.241020744189,-152.080022815118,1101759,451,paced,NA,NA,NaN,13.8504155124643,0.105921245683905,0.102352875400208,1,0,1100435,1101152,1101151,1102098,1100830,1101759,2.39862575214151,-1.54831019850369,0.79,1.214,1672.40121301235,1808.45945500205,1.432,1.892,NaN,1102099,NaN,1.004,121927.830610483,131516.858735925,-0.0455664249010492,-0.0298267672405535,-0.00433729400846754,5.64770246877864e-05,2.97736080145851e-05,2.92738177642416e-05,-0.00423143530769734,0.0112495538589301,1,0.887768707482921,0.828000000000429,0.0597687074824917,2200.87,59.7687074824917,1,0,1,0,paced,0.865054119070207,69.3598223247469,0.0690924488594233,121927.830610483,121927.830610483
1102601,1102601,NaN,11,8.9515671565058,186.194307844401,1102920,5.49528520273637,1104517,3.83199999999988,178.97088166478,-112.710883541284,1103502,452,paced,NA,NA,NaN,15.6576200417541,0.103825917406415,0.142068532178811,1,0,1102601,1103191,1103190,1103902,1102920,1103502,2.31577352534276,-1.5701743055414,0.638,0.622,1537.25625659824,1441.3033898138,1.178,1.422,NaN,1103903,NaN,1.228,118426.281429855,113106.647056373,-0.0557325560014094,-0.0468980834634408,-0.00427242297576928,6.5330632426155e-05,4.42803193675822e-05,3.20139005520973e-05,-0.0083116237466763,0.0106152003977528,1,0.91399999999976,0.85633874709985,0.0576612528999095,2205.202,57.6612528999095,1,0,1,0,paced,0.883732822373581,67.8938232019589,0.0652473818331649,118426.281429855,118426.281429855
1104517,1104517,NaN,11,5.49528520273637,221.3596891936,1104829,3.54785915170887,1106470,3.90599999999995,216.838117016377,-153.667182458989,1105273,453,paced,NA,NA,NaN,15.3609831029188,0.0545031672831404,0.132953546878623,1,0,1104517,1105041,1105040,1105604,1104829,1105273,2.43158478419782,-2.10007748238225,0.624,0.464,1388.27725122779,1406.89645406654,1.046,1.126,NaN,1105605,NaN,1.73,105588.556367038,105891.567248795,-0.0601571099512182,-0.0718180134348367,-0.00770684359138868,7.57540708191067e-05,7.30358678589063e-05,5.43602741222709e-05,-0.0122715373724985,0.0121086835560191,1,0.893999999999778,0.842000000000098,0.0519999999996799,2209.034,51.9999999996799,1,0,1,0,paced,0.873726324418655,68.6713886524155,0.0595152034983937,105588.556367038,105588.556367038
1106470,1106470,NaN,11,3.54785915170887,172.955653036476,1106826,4.45600925107547,1108572,4.20399999999972,168.953718835084,-104.374348282852,1107282,454,paced,NA,NA,NaN,14.2721217887735,0.0558059934300504,0.140863844676667,1,0,1106470,1107083,1107082,1107825,1106826,1107282,2.05119637240099,-1.40847737036647,0.712,0.398,1353.41188212607,1263.67353476606,1.224,1.484,NaN,1107826,NaN,1.492,100434.843666297,93289.7040668305,-0.0443522522659618,-0.0540604722881096,-0.00567575140049602,5.1623943294441e-05,5.30264441270939e-05,2.26997359798375e-05,-0.00936526981728856,0.00934380312439376,1,0.930000000000291,0.868163636363647,0.0618363636366437,2212.94,61.8363636366437,1,0,1,0,paced,0.902299082168759,66.4967982188173,0.0685320032555217,100434.843666297,100434.843666297
1108572,1108572,NaN,11,4.45600925107547,148.384497478299,1108909,8.75790491663292,1110507,3.87000000000035,141.777540394444,-98.1817792115593,1109725,455,paced,NA,NA,NaN,15.5038759689909,0.0483034190502095,0.141822840612366,1,0,1108572,1109242,1109241,1110141,1108909,1109725,1.94098460271779,-1.40261694763035,0.674,0.966,1328.08328761082,1635.11089372502,1.338,1.798,NaN,1110142,NaN,0.73,90707.7100341674,110955.663786267,-0.0438214928724025,-0.028170679264668,-0.00236981740903508,5.34522439578586e-05,2.15330116100079e-05,1.71451898648368e-05,-0.00468835795207989,0.00919016937607886,1,0.894666666666843,0.83600000000024,0.058666666666603,2217.144,58.666666666603,1,0,1,0,paced,0.865776127439782,69.3019801521072,0.0677619361486535,90707.7100341674,90707.7100341674
1110507,1110507,NaN,11,8.75790491663292,164.301462337793,1110883,0.00105095784017173,1112382,3.75,159.921984400556,-105.424366869031,1111247,456,paced,NA,NA,NaN,16,0.0833100363727986,0.163142939966101,1,0,1110507,1111072,1111071,1111620,1110883,1111247,2.30653960415905,-1.54263878788812,0.752,0.35,1375.53747401892,1046.47546173378,1.128,1.096,NaN,1111621,NaN,1.522,94612.4765204268,72211.9190978742,-0.04788472149617,-0.0757012587671172,-0.00914254324546328,5.99017410575815e-05,8.53367067757692e-05,4.00552921584558e-05,-0.0126922470403633,0.0114328071340795,1,0.916000000000167,0.868027586207178,0.047972413792989,2221.014,47.972413792989,1,0,1,0,paced,0.89638714916901,66.9353638722093,0.0535175162176985,94612.4765204268,94612.4765204268
