Label,theta_deg,phi_deg,X_nose_m,Y_left_m,Z_up_m,X_right_mne_m,Y_front_mne_m,Z_up_mne_m,X2D_right,Y2D_front,X_nose_mm,Y_left_mm,Z_up_mm
P4,-144.67912725864227,30.431812602865723,-0.07693338502701783,-0.05451396081328069,0.05538974175871696,0.05451396081328069,-0.07693338502701783,0.05538974175871696,0.03690770230539474,-0.03352650901078692,-76.93338502701782,-54.51396081328069,55.38974175871696
P8,-135.00494050819904,-1.4081934966830174,-0.07155521061771287,-0.07154287153696537,-0.002487401991958082,0.07154287153696537,-0.07155521061771287,-0.002487401991958082,0.05536440990770234,-0.03751524674137804,-71.55521061771287,-71.54287153696536,-2.4874019919580816
TP10,-118.6299077557148,-25.04522427290414,-0.04606129878438817,-0.08437757202783223,-0.04491915038154538,0.08437757202783223,-0.04606129878438817,-0.04491915038154538,0.0819864551079067,-0.025487346278834182,-46.06129878438817,-84.37757202783223,-44.91915038154538
CP6,-118.95541217578679,18.144338742464626,-0.04514663994167603,-0.0815963823990287,0.030559789984662952,0.0815963823990287,-0.04514663994167603,0.030559789984662952,0.05814682859059282,-0.014016382033653161,-45.14663994167603,-81.5963823990287,30.559789984662952
CP2,-140.8059092127152,56.18965561120613,-0.0460983160266307,-0.037588952983827015,0.08881689907899143,0.037588952983827015,-0.0460983160266307,0.08881689907899143,0.024250018727059248,-0.010494793356292598,-46.0983160266307,-37.588952983827014,88.81689907899143
Cz,-177.4958818648799,84.77004617457233,-0.008977170889873912,-0.00039259821203779327,0.09816815955978188,0.00039259821203779327,-0.008977170889873912,0.09816815955978188,0.0002295319769993189,0.013709597994065813,-8.977170889873912,-0.39259821203779327,98.16815955978188
C4,-99.22459761294735,43.07720560821831,-0.010674577926354598,-0.06572803077009581,0.0622633931687775,0.06572803077009581,-0.010674577926354598,0.0622633931687775,0.04409634886066936,0.011464540142160008,-10.674577926354598,-65.72803077009581,62.2633931687775
T8,-100.01202894815383,-6.268442345066318,-0.014709261472365346,-0.08331807588015527,-0.009293482245544172,0.08331807588015527,-0.014709261472365346,-0.009293482245544172,0.06687318119766453,0.006180407095831561,-14.709261472365347,-83.31807588015528,-9.293482245544173
FT10,-80.30861436195765,-30.63653063811691,0.014067237556645771,-0.0823712962558147,-0.04949146530298328,0.0823712962558147,0.014067237556645771,-0.04949146530298328,0.08543702834204704,0.034624750244194334,14.067237556645772,-82.3712962558147,-49.49146530298328
FC6,-75.9283864803437,16.596383640340814,0.019522873972865642,-0.07788711762543042,0.023931940897429765,0.07788711762543042,0.019522873972865642,0.023931940897429765,0.057376585011686146,0.032659424154018395,19.522873972865643,-77.88711762543042,23.931940897429765
FC2,-52.763094567264304,60.996146814174494,0.02589042721385377,-0.03406379512931855,0.07717605361505218,0.03406379512931855,0.02589042721385377,0.07717605361505218,0.022560792474635185,0.036234219761162076,25.89042721385377,-34.06379512931855,77.17605361505218
F4,-43.667669733479386,28.530944737757835,0.05318026287121466,-0.050762782336825796,0.03996882870069967,0.050762782336825796,0.05318026287121466,0.03996882870069967,0.03662727584225042,0.05709136229249167,53.18026287121466,-50.76278233682579,39.96882870069967
F8,-58.693815790713,-7.990226683004141,0.04350182089219068,-0.07153053245621786,-0.01175150547381771,0.07153053245621786,0.04350182089219068,-0.01175150547381771,0.06044593103173983,0.0554100912461765,43.50182089219068,-71.53053245621787,-11.75150547381771
Fp2,-19.385428728086495,-4.498096466154434,0.08313788612955673,-0.029253708080460395,-0.006933388229552449,0.029253708080460395,0.08313788612955673,-0.006933388229552449,0.024916108513165638,0.08985740607445215,83.13788612955673,-29.253708080460395,-6.933388229552449
