sniffOnset,finalOnset,manOnset,condition,Yonset,inhaleMax,inMaxTim,Yend,endTim,length,amp,exhaleMin,exMinTim,index,task,noseMouth,shadowFile,warp,rateBPM,localPeriodCV,localAmpCV,nSubPeaks,bm_inhaleOnsets,bm_exhaleOnsets,bm_inhaleOffsets,bm_exhaleOffsets,bm_inhalePeaks,bm_exhaleTroughs,bm_peakInspiratoryFlows,bm_troughExpiratoryFlows,bm_inhaleTimeToPeak,bm_exhaleTimeToTrough,bm_inhaleVolumes,bm_exhaleVolumes,bm_inhaleDurations,bm_exhaleDurations,bm_inhalePauseOnsets,bm_exhalePauseOnsets,bm_inhalePauseDurations,bm_exhalePauseDurations,bm_inhaleVolumesRaw,bm_exhaleVolumesRaw,bm_inhale_smoothness,bm_inpeak_to_extrough_smoothness,bm_exhale_smoothness,bm_inhale_curvature,bm_inpeak_to_extrough_curvature,bm_exhale_curvature,bm_inpeak_to_extrough_slope,bm_max_flowchange,goodBreath,maxRR,minRR,RR_max_min,onsetSec,rsa_ms,good,clean,final10,period,meanRR,hrBPM,rsaNorm,depthVol,depth
3473656,3473656,NaN,31,17.4614160532271,113.857879087823,3473903,7.38411644458332,3475303,3.29399999999987,101.435112838918,-177.606068511934,3474604,1316,final,NA,NA,NaN,18.2149362477239,0.189469364589161,0.322646945733873,4,3473656,3474387,3474386,3474874,3473903,3474604,1.69844757563113,-1.92751468398054,0.494,0.434,1703.19339868661,1313.68318197171,1.46,0.974,NaN,3474875,NaN,0.856,152542.773376014,124763.659669039,-0.053690324070593,-0.0400339746906632,-0.0177787818102756,6.67659559455172e-05,6.60259525358275e-05,4.82814878731834e-05,-0.00544495713666908,0.00916889892447526,1,0.822254117647514,0.795999999999367,0.026254117648147,6947.312,26.254117648147,1,0,0,paced,0.803543089478226,74.6692999860909,0.0326729431089936,152542.773376014,152542.773376014
3475303,3475303,NaN,31,7.38411644458332,194.013280263533,3475603,2.75141032026613,3477902,5.19800000000032,188.945516881109,-139.656873918768,3476048,1317,final,NA,NA,NaN,11.5429011158131,0.190378135299591,0.360856716997625,4,3475303,3475898,3475897,3477068,3475603,3476048,1.73249783115451,-1.21134798248259,0.6,0.3,1321.07657903269,1297.94415719592,1.188,2.34,NaN,3477069,NaN,1.666,157936.848510424,174404.325682974,-0.0430485805946725,-0.0481422027168626,-0.00470673641660426,5.49805676620555e-05,6.2626147862796e-05,3.29287563754338e-05,-0.00785755611229427,0.00799067985597213,1,0.809099009900956,0.778000000000247,0.0310990099007082,6950.606,31.0990099007082,1,0,0,paced,0.792587113903089,75.7014578555668,0.0392373397891387,157936.848510424,157936.848510424
3477902,3477902,NaN,31,2.75141032026613,113.37644686051,3478594,28.5903697947754,3479944,4.08399999999983,97.7055568029888,-136.256529910291,3478972,1318,final,NA,NA,NaN,14.6914789422141,0.265987199970866,0.689363079725991,1,3477902,3478790,3478789,3479943,3478594,3478972,0.756925460541404,-0.783277450032392,1.384,0.364,716.023193657578,828.851550935239,1.774,2.306,NaN,NaN,NaN,NaN,116060.174265876,136246.217309621,-0.00839952546923187,-0.0296837049865014,-0.00255559520017092,1.17569770198171e-05,3.60119201992414e-05,1.27265263787255e-05,-0.00504714635575378,0.0028712091268131,1,0.860000000000582,0.809099009900956,0.0509009900996265,6955.804,50.9009900996265,1,0,0,paced,0.831268484335872,72.178846101613,0.0612329121803444,116060.174265876,116060.174265876
3479944,3479944,NaN,31,28.5903697947754,191.461211292488,3480238,-50.859801765833,3481635,3.38200000000052,202.595927278017,-151.367924924393,3480747,1319,final,NA,NA,NaN,17.7409816676496,0.267909468649424,0.658922722613966,2,3479944,3480544,3480543,3481420,3480238,3480747,1.34400833424821,-0.926261611116572,0.588,0.406,1056.06886254339,1037.82953176814,1.198,1.752,NaN,3481421,NaN,0.428,171918.276325273,170636.056380726,-0.0350156280535364,-0.0314976725027587,-0.00294952343238874,2.9647948789117e-05,3.20720415717054e-05,1.67482051086346e-05,-0.0054723153488138,0.0057963328461117,1,0.825684964200347,0.778000000000247,0.0476849642000994,6959.888,47.6849642000994,1,0,0,paced,0.791253760136836,75.8290235355391,0.0602650712103446,171918.276325273,171918.276325273
3481635,3481635,NaN,31,-50.859801765833,288.118534993633,3482220,438.531629699063,3483679,4.08799999999974,94.2826210270182,-785.065596772514,3482986,1320,final,NA,NA,NaN,14.6771037182005,0.258458094703654,0.660877119708894,4,3481635,3482577,3482576,3483224,3482220,3482986,1.63326802403641,-3.56767494073557,1.17,0.818,1421.58436843178,2269.32309848342,1.882,1.294,NaN,3483225,NaN,0.908,244016.132120154,400512.053352764,-0.0252360195319934,-0.0522026834119644,-0.02054836903549,2.91055450182904e-05,7.79997267270346e-05,0.000125939306762311,-0.00698689932731502,0.024206816353488,0,0.807999999999993,0.760000000000218,0.0479999999997744,6963.27,47.9999999997744,0,0,0,paced,0.784606945232305,76.4714107676364,0.0611771286138216,244016.132120154,244016.132120154
3483679,3483679,NaN,31,438.531629699063,491.948352490326,3483833,-352.441073678737,3484681,2.00399999999991,448.903074480163,-518.570234948648,3484341,1321,final,NA,NA,NaN,29.9401197604805,0.230405120687828,0.63083297083944,2,3483679,3484172,3484171,3484536,3483833,3484341,3.13542732539801,-2.73881406044202,0.308,0.338,2413.75986669983,1395.79825837612,0.984,0.728,NaN,3484537,NaN,0.288,411349.732829605,251455.117583034,-0.238457863051853,-0.0839976554402721,-0.0422434857884413,4.10878701550898e-05,9.26747154225887e-05,9.38101277952183e-05,-0.0130176905647236,0.00819368741065896,1,0.762564231738075,0.721999999999753,0.0405642317383228,6967.358,40.5642317383228,1,0,0,paced,0.7319949650862,81.9677769135125,0.0554159982965811,411349.732829605,411349.732829605
3484681,3484681,NaN,31,-352.441073678737,205.720201083291,3485632,31.444930628461,3486892,4.42199999999957,366.21827260843,-136.389507689834,3486199,1322,final,NA,NA,NaN,13.5685210312089,0.231673780363983,0.617218136159381,1,3484681,3485890,3485889,3486469,3485632,3486199,1.17019429969372,-0.810829841092252,1.902,0.618,2006.33894609668,567.685681708121,2.416,1.158,NaN,3486470,NaN,0.844,333835.768515989,98446.1270861962,-0.0223886979148542,-0.0247742420587605,-0.00424888371585339,1.4491778142357e-05,2.94288722502585e-05,2.78504225032841e-05,-0.00411140173389232,0.00450421205248319,0,0.778000000000247,0.73288642659278,0.0451135734074675,6969.362,45.1135734074675,0,0,0,paced,0.764572213155901,78.4752557934847,0.0590049868818193,333835.768515989,333835.768515989
3486892,3486892,NaN,31,31.444930628461,120.882041044072,3487206,11.11581824731,3489169,4.55400000000009,99.6016666061866,-130.003798143637,3487669,1323,final,NA,NA,NaN,13.1752305665347,0.226604599774957,0.677646360806927,3,3486892,3487438,3487437,3487962,3487206,3487669,0.814888576902123,-0.783140689274675,0.628,0.462,607.533454475197,524.241575471163,1.09,1.048,NaN,3487963,NaN,2.412,104435.442523577,89757.8022068401,-0.0217878828167009,-0.0246045192389712,-0.00431001774468124,1.53816067670034e-05,2.60427888121745e-05,2.35136316217617e-05,-0.00426685458670956,0.00355229707137766,1,0.771999999999935,0.716000000000349,0.0559999999995853,6973.784,55.9999999995853,1,0,0,paced,0.752105030269623,79.7760918823937,0.0744576857563494,104435.442523577,104435.442523577
3489169,3489169,NaN,31,11.11581824731,363.999577647134,3489549,18.0740125956495,3491223,4.10800000000017,349.404662225654,-224.250853690978,3490037,1324,final,NA,NA,NaN,14.6056475170393,0.23414795146382,0.643375019744744,2,3489169,3489823,3489822,3490804,3489549,3490037,1.95359444643878,-1.34739808658286,0.76,0.428,1284.49022956972,1343.86362517291,1.306,1.962,NaN,3490805,NaN,0.836,224699.607017346,232138.401525534,-0.0393929951825137,-0.0474688415803624,-0.00439990308146462,5.51812758962189e-05,4.29164515603439e-05,2.69684663460761e-05,-0.00807371097551694,0.0107487906522593,1,0.829999999999927,0.723932960894234,0.106067039105693,6978.338,106.067039105693,1,0,0,paced,0.794927195274813,75.4786103138131,0.133429878529977,224699.607017346,224699.607017346
3491223,3491223,NaN,31,18.0740125956495,133.670283350653,3491574,26.7421903413861,3493068,3.69000000000051,111.262181882136,-213.101286221205,3492309,1325,final,NA,NA,NaN,16.2601626016238,0.118824093654084,0.698281896136449,1,3491223,3492044,3492043,3493067,3491574,3492309,1.2300840750775,-1.98611215233559,0.702,0.53,1313.78503455379,1887.129891698,1.64,2.046,NaN,NaN,NaN,NaN,150400.196788935,190745.146215919,-0.0278608791915996,-0.0315118770509113,-0.00511888165280732,2.70486688925856e-05,3.01722951918905e-05,2.06899777416531e-05,-0.00491947104088074,0.00476575384841016,1,0.823355932203277,0.807999999999993,0.0153559322032841,6982.446,15.3559322032841,1,1,0,paced,0.81439382315336,73.6744291203953,0.0188556589781409,150400.196788935,150400.196788935
